"title","lat","lon","school"
"Vestavia Hills City School District, AL",33.4319,-86.7886,0
"Walker County School District, AL",33.834609,-87.274634,0
"Washington County School District, AL",31.466277,-88.256794,0
"Wilcox County School District, AL",32.003524,-87.289226,0
"Winfield City School District, AL",33.931415,-87.812039,0
"Winston County School District, AL",34.147886,-87.40249,0
"Lower Kuskokwim School District, AK",60.8026,-161.7704,0
"Lower Yukon School District, AK",62.778473,-164.528906,0
"Yupiit School District, AK",60.900132,-161.420534,0
"Kashunamiut School District, AK",61.5307,-165.5846,0
"Aleutians East Borough School District, AK",55.340235,-160.498127,0
"Aleutian Region School District, AK",61.1736,-149.882,0
"Bering Strait School District, AK",63.875697,-160.789808,0
"Bristol Bay Borough School District, AK",58.7333,-157.0046,0
"Alaska Gateway School District, AK",63.336283,-142.983556,0
"Cordova City School District, AK",60.544838,-145.757063,0
"Copper River School District, AK",62.108873,-145.530303,0
"Craig City School District, AK",55.474873,-133.135245,0
"Delta/Greely School District, AK",64.043512,-145.713173,0
"Dillingham City School District, AK",59.042379,-158.464858,0
"Galena City School District, AK",64.746135,-156.878509,0
"Ketchikan Gateway Borough School District, AK",55.3527,-131.6774,0
"Anchorage School District, AK",61.1951,-149.775871,0
"Juneau Borough School District, AK",58.302824,-134.423582,0
"Sitka Borough School District, AK",57.064408,-135.352867,0
"Haines Borough School District, AK",59.235283,-135.454105,0
"Hoonah City School District, AK",58.107772,-135.4409,0
"Kake City School District, AK",56.9756,-133.9467,0
"Kenai Peninsula Borough School District, AK",60.49,-151.0723,0
"Klawock City School District, AK",55.553553,-133.099033,0
"Kodiak Island Borough School District, AK",57.794074,-152.395229,0
"Lake And Peninsula School District, AK",58.6901,-156.6406,0
"Matanuska-Susitna Borough School District, AK",61.611606,-149.103123,0
"Iditarod Area School District, AK",62.948539,-155.585318,0
"Annette Island School District, AK",55.126236,-131.577064,0
"Nenana City School District, AK",64.562372,-149.089631,0
"Nome School District, AK",64.542453,-165.40547,0
"Fairbanks North Star Borough School District, AK",64.842168,-147.718047,0
"North Slope Borough School District, AK",71.291437,-156.790327,0
"Northwest Arctic Borough School District, AK",66.902207,-162.58468,0
"Pelican City School District, AK",57.956709,-136.222208,0
"Petersburg City School District, AK",56.814705,-132.954712,0
"St. Marys City School District, AK",62.052226,-163.180707,0
"Skagway School District, AK",59.463181,-135.307408,0
"Southeast Island School District, AK",55.689263,-132.524451,0
"Southwest Region School District, AK",59.042636,-158.468518,0
"Tanana School District, AK",65.171308,-152.087844,0
"Unalaska City School District, AK",53.86911,-166.522628,0
"Chatham School District, AK",57.497734,-134.584631,0
"Kuspuk School District, AK",61.58351,-159.545588,0
"Denali Borough School District, AK",63.873423,-149.014066,0
"Yukon Flats School District, AK",66.564332,-145.252118,0
"Valdez City School District, AK",61.133181,-146.375642,0
"Chugach School District, AK",61.136451,-149.848192,0
"Wrangell City School District, AK",56.471753,-132.375612,0
"Yakutat City School District, AK",59.5464,-139.7236,0
"Yukon-Koyukuk School District, AK",64.83593,-147.826946,0
"Cave Creek Unified District, AZ",33.78835,-111.956391,0
