"id","area","size","alg8"
"0200390","Kenai Peninsula Borough School District",458,0.305
"0200450","Klawock City School District",15,0
"0200480","Kodiak Island Borough School District",181,0.146
"0200485","Lake and Peninsula Borough School District",23,0.261
"0200510","Matanuska-Susitna Borough School District",1302,0.267
"0200520","Iditarod Area School District",13,0
"0200525","Annette Island School District",24,0.169
"0200540","Nenana City School District",6,0
"0200570","Nome Public Schools",54,0.215
"0200600","Fairbanks North Star Borough School District",972,0.191
"0200610","North Slope Borough School District",137,0.026
"0200625","Northwest Arctic Borough School District",136,0.189
"0200660","Petersburg Borough School District",40,0.3
"0200670","Pribilof School District",12,0.171
"0200680","Saint Mary's School District",12,0.615
"0200690","Skagway School District",4,0.812
"0200700","Southeast Island School District",13,0
"0200710","Southwest Region School District",45,0.13
"0200715","Tanana City School District",1,0
"0200720","Unalaska City School District",35,0.457
"0200730","Chatham School District",13,0
"0200760","Kuspuk School District",29,0
"0200770","Denali Borough School District",64,0.062
"0200775","Yukon Flats School District",20,0
"0200780","Valdez City School District",56,0.17
"0200800","Chugach School District",18,1
"0200810","Wrangell Public School District",24,0.318
"0200840","Yakutat School District",7,0
"0200862","Yukon-Koyukuk School District",17,0
"0400001","Cave Creek Unified District",473,0.348
"0400003","Chino Valley Unified District",204,0.141
"0400004","Clarkdale-Jerome Elementary District",55,0.164
"0400005","Salome Consolidated Elementary District",13,0
"0402530","Center for Academic Success  Inc.",419,0.141
"0401460","Center for Academic Success  Inc.",449,0.129
"0402860","Pine Forest Education Association  Inc.",958,0.174
"0400021","Colorado City Unified District",84,0.595
"0400022","Vernon Elementary District",10,1
"0400023","Pinon Unified District",92,0
"0400026","Heber-Overgaard Unified District",34,0.487
"0407240","Triumphant Learning Center",227,0.261
"0407750","Ridgeline Academy  Inc.",3107,0.143
"0404970","Boys & Girls Clubs of the East Valley dba Mesa Arts Academy",5377,0.208
"04_virtual","Foothills Academy",1107,0.033
"0409060","Twenty First Century Charter School  Inc. Bennett Academy",2711,0.003
"0407080","Espiritu Community Development Corp. 1",1347,0.158
"0404500","Villa Montessori Charter School",762,0.108
"0406300","Arizona School For The Arts",1064,0.121
"0403780","Benjamin Franklin Charter School",1261,0.343
"0408310","Tempe Preparatory Academy",1234,0.295
"0400295","Kingman Academy Of Learning",579,0.169
"0405190","Young Scholars Academy Charter School Corp.",183,0.313
"0400680","Presidio School",1281,0.12
"0409733","Sedona Charter School  Inc.",79,0
"0403870","Franklin Phonetic Primary School Inc. 1",563,0.23
"0406730","Skyview School  Inc.",492,0.395
"0403500","Liberty High School",165,0.119
"0405670","Phoenix Advantage Charter School  Inc.",359,0.175
"0404230","Allen-Cochran Enterprises  Inc.",2423,0.21
"0406810","American Leadership Academy  Inc.",888,0.286
"0403040","Fountain Hills Charter School",135,0.361
"0408280","Hermosa Montessori Charter School",197,0.153
"0401680","Acclaim Charter School",2234,0.036
"0401050","Academy Of Excellence  Inc.",267,0.131
"0408800","Accelerated Elementary and Secondary Schools",4115,0.054
"0402370","American Heritage Academy",286,0.089
"0401600","American Heritage Academy",134,0
"0406250","Employ-Ability Unlimited  Inc.",3224,0.005
"0405530","Mexicayotl Academy  Inc.",448,0.211
"0407300","Great Expectations Academy",452,0.215
"0400212","Benson Unified School District",92,0
"0406070","The Shelby School",186,0.158
