lat,lon,title,school
41.268177,-95.959895,"Omaha Public Schools, NE",0
30.00798,-95.262951,"Humble Independent School District, TX",0
32.7659,-96.59399999999999,"Mesquite Independent School District, TX",0
36.714377,-76.24835400000001,"Chesapeake City Public Schools, VA",0
29.5281,-95.07259999999999,"Clear Creek Independent School District, TX",0
33.34736,-111.790761,"Gilbert Unified District, AZ",0
33.67039,-112.091591,"Deer Valley Unified District, AZ",0
29.183983,-82.132346,"Marion County School District, FL",0
37.83321,-122.276571,"Oakland Unified School District, CA",0
32.7882,-79.93089999999999,"Charleston County School District, SC",0
28.812866,-81.728213,"Lake County School District, FL",0
45.505267,-122.846758,"Beaverton School District, OR",0
40.737943,-74.170931,"Newark City School District, NJ",0
35.382105,-118.99102,"Bakersfield City School District, CA",0
40.5845,-111.9055,"Canyons School District, UT",0
39.411529,-77.406038,"Frederick County Public Schools, MD",0
47.5805,-122.330311,"Seattle School District, WA",0
33.6107,-112.1951,"Peoria Unified School District, AZ",0
30.577659,-97.854781,"Leander Independent School District, TX",0
32.94432,-96.73257099999999,"Richardson Independent School District, TX",0
44.9584,-122.9836,"Salem-Keizer School District, OR",0
27.796,-97.39892,"Corpus Christi Independent School District, TX",0
39.5363,-76.34690000000001,"Harford County Public Schools, MD",0
45.208127,-93.390191,"Anoka-Hennepin Public School District, MN",0
30.476496,-90.09825100000001,"St. Tammany Parish School District, LA",0
27.42588,-80.37113100000001,"St. Lucie County School District, FL",0
35.9971,-78.8971,"Durham Public Schools, NC",0
44.931124,-93.118762,"St. Paul Public School District, MN",0
39.7191,-104.8051,"Adams-Arapahoe School District, CO",0
31.1148,-97.71036100000001,"Killeen Independent School District, TX",0
35.50202,-78.317551,"Johnston County Schools, NC",0
38.03634,-84.484951,"Fayette County School District, KY",0
42.036914,-88.27777399999999,"School District, IL",0
43.59524,-116.378421,"Meridian Joint School District, ID",0
36.119564,-95.933537,"Tulsa Public Schools, OK",0
37.959115,-121.295666,"Stockton Unified School District, CA",0
30.413,-87.24169999999999,"Escambia County School District, FL",0
34.0779,-117.4538,"Fontana Unified School District, CA",0
33.7777,-117.953,"Garden Grove Unified School District, CA",0
26.1918,-98.1773,"Pharr-San Juan-Alamo Independent School District, TX",0
40.812616,-96.640348,"Lincoln Public Schools, NE",0
33.623607,-112.014406,"Paradise Valley Unified District, AZ",0
29.992222,-81.683831,"Clay County School District, FL",0
33.603561,-112.158848,"Washington Elementary District, AZ",0
32.9934,-117.0813,"Poway Unified School District, CA",0
32.93362,-97.247941,"Keller Independent School District, TX",0
35.25,-81.1773,"Gaston County Schools, NC",0
44.99928,-93.296401,"Minneapolis Public School District, MN",0
27.279691,-82.53179,"Sarasota County School District, FL",0
40.1051,-111.6553,"Nebo School District, UT",0
41.167431,-111.968568,"Weber School District, UT",0
35.915,-86.88370000000001,"Williamson County School District, TN",0
30.4392,-91.1343,"East Baton Rouge Parish School District, LA",0
32.56471,-97.13631100000001,"Mansfield Independent School District, TX",0
35.3883,-80.5063,"Cabarrus County Schools, NC",0
37.812078,-121.976871,"San Ramon Valley Unified School District, CA",0
30.00741,-95.448931,"Spring Independent School District, TX",0
42.886391,-78.87879100000001,"Buffalo City School District, NY",0
32.0764,-81.0928,"Chatham County School District, GA",0
35.475368,-97.475201,"Oklahoma City Public Schools, OK",0
37.507653,-121.954468,"Fremont Unified School District, CA",0
33.9174,-117.2152,"Moreno Valley Unified School District, CA",0
33.67536,-117.792301,"Irvine Unified School District, CA",0
32.8374,-96.9817,"Irving Independent School District, TX",0
37.9867,-122.0069,"Mount Diablo Unified School District, CA",0
26.3055,-98.1657,"Edinburg Consolidated Independent School District, TX",0
36.520897,-87.345581,"Clarksville-Montgomery County School System, TN",0
33.1937,-80.0077,"Berkeley County School District, SC",0
31.8495,-102.3746,"Ector County Independent School District, TX",0
31.762566,-106.357339,"Ysleta Independent School District, TX",0
40.1555,-105.107,"St. Vrain Valley School District, CO",0
33.504107,-117.113138,"Temecula Valley Unified School District, CA",0
40.01313,-105.200151,"Boulder Valley School District, CO",0
38.123345,-121.249946,"Lodi Unified School District, CA",0
33.4757,-81.9671,"Richmond County School District, GA",0
35.193101,-101.919938,"Amarillo Independent School District, TX",0
37.107872,-113.586002,"Washington School District, UT",0
26.24838,-98.47787099999999,"La Joya Independent School District, TX",0
34.066965,-117.666688,"Ontario-Montclair School District, CA",0
42.5625,-83.01560000000001,"Utica Community Schools, MI",0
37.934,-122.3585,"West Contra Costa Unified School District, CA",0
33.3356,-111.9457,"Kyrene Elementary District, AZ",0
33.49501,-112.17145,"Cartwright Elementary District, AZ",0
41.59665,-88.193491,"Plainfield School District, IL",0
34.00971,-118.108365,"Montebello Unified School District, CA",0
32.467423,-84.97492699999999,"Muscogee County School District, GA",0
34.01908,-117.691762,"Chino Valley Unified School District, CA",0
33.91655,-84.83089099999999,"Paulding County School District, GA",0
36.39329,-86.431091,"Sumner County School District, TN",0
41.58505,-93.64961099999999,"Des Moines Independent Community School District, IA",0
33.627774,-112.382746,"Dysart Unified District, AZ",0
41.744154,-88.22440400000001,"Indian Prairie Community Unit School District, IL",0
33.7024,-116.2763,"Desert Sands Unified School District, CA",0
33.62153,-117.683901,"Saddleback Valley Unified School District, CA",0
30.2276,-93.1713,"Calcasieu Parish School District, LA",0
29.55851,-95.785451,"Lamar Consolidated Independent School District, TX",0
34.3086,-83.8279,"Hall County School District, GA",0
38.789176,-94.760719,"Olathe Unified School District, KS",0
38.42423,-77.406611,"Stafford County Public Schools, VA",0
29.89772,-81.316891,"St. Johns County School District, FL",0
30.44064,-84.334411,"Leon County School District, FL",0
38.65987,-121.388701,"Twin Rivers Unified School District, CA",0
33.8107,-117.827,"Orange Unified School District, CA",0
39.1302,-84.5016,"Cincinnati City School District, OH",0
30.40604,-86.60730100000001,"Okaloosa County School District, FL",0
36.3239,-119.3467,"Visalia Unified School District, CA",0
40.5893,-105.1223,"Poudre School District, CO",0
37.326642,-122.026753,"Cupertino Union Elementary School District, CA",0
35.60682,-82.583691,"Buncombe County Schools, NC",0
43.154,-77.6164,"Rochester City School District, NY",0
32.4589,-83.72880000000001,"Houston County School District, GA",0
30.6196,-87.039,"Santa Rosa County School District, FL",0
38.8491,-104.8124,"Colorado Springs School District, CO",0
34.1306,-117.3715,"Rialto Unified School District, CA",0
33.2252,-97.1323,"Denton Independent School District, TX",0
47.37121,-122.179584,"Kent School District, WA",0
32.4709,-93.7704,"Caddo Parish School District, LA",0
37.3355,-121.9111,"San Jose Unified School District, CA",0
33.20443,-96.63258,"McKinney Independent School District, TX",0
39.57185,-76.985901,"Carroll County Public Schools, MD",0
47.256321,-122.445822,"Tacoma Public Schools, WA",0
36.8468,-76.285,"Norfolk City Public Schools, VA",0
38.633,-90.19450999999999,"St. Louis City School District, MO",0
