id,name,G08,lat,lon,HI08,AM08,AS08,HP08,BL08,WH08,TR08,leaidC_SEDA,WH_tot,WB_dissim,WH_dissim,WB_exp,WH_exp,G08_alg_p,G08_access_p,HI08_alg_p,BL08_alg_p,WH08_alg_p,WB_diff,WH_diff,WB_n,WH_n,WB_access,WH_access
170993006093,Ogden Int High School,109,41.89396,-87.658481,19,1,12,0,30,44,3,1709930,44,0,0,.40366971,.40366971,.64220184,1,.52631581,.43333334,.77272725,.33939391,.24641144,30,19,0,0
170993006099,South Shore Fine Arts Elem Sch,32,41.767519,-87.590216,0,0,1,0,31,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993006108,West Ridge Elem School,62,42.003012,-87.705825,14,3,24,1,2,17,1,1709930,17,0,0,.27419356,.27419356,.32258064,1,.35714287,0,.23529412,.23529412,-.12184875,2,14,0,0
170993006131,Azuela Elem School,81,41.771142,-87.739875,74,1,0,0,1,4,1,1709930,4,0,0,.049382716,.049382716,.2345679,1,.21621622,0,.5,.5,.28378379,1,4,0,0
170993006139,Garcia Lorca Elem School,74,41.9399,-87.72482100000001,69,1,0,0,1,3,0,1709930,3,0,0,.040540539,.040540539,.98648649,1,1,1,.66666669,-.33333331,-.33333331,1,3,0,0
170993006142,Rowe Elementary,24,41.90609,-87.66340099999999,19,0,1,0,4,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993006149,Camras Elem School,81,41.934951,-87.77001900000001,73,1,1,0,1,5,0,1709930,5,0,0,.061728396,.061728396,.39506173,1,.38356164,1,.40000001,-.60000002,.016438365,1,5,0,0
170993006171,Nkrumah Academy Charter ES,24,41.697986,-87.630842,0,0,0,0,24,0,0,1709930,0,,,,,.91666669,1,,.91666669,,,,0,0,0,0
170993006207,Shields Middle School,155,41.806552,-87.68980000000001,150,3,0,0,1,1,0,1709930,1,0,0,.0064516128,.0064516128,0,0,0,0,0,0,0,1,1,0,0
170993006235,KIPP Chicago Charter Schools,146,41.891402,-87.746205,4,0,0,0,142,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993006243,Catalyst Charter - Maria ES,60,41.77071,-87.691951,26,0,0,0,33,1,0,1709930,1,0,0,.016666668,.016666668,0,0,0,0,0,0,0,1,1,0,0
170993006250,Disney II Magnet HS,126,41.95241,-87.720821,53,1,3,0,19,46,4,1709930,46,0,0,.36507937,.36507937,.45238096,1,.35849056,.36842105,.54347825,.1750572,.18498769,19,46,0,0
170993006293,Intrinsic Charter High School,152,41.939315,-87.741,133,0,2,0,8,8,1,1709930,8,0,0,.052631579,.052631579,.13815789,1,.075187966,.25,1,.75,.92481202,8,8,0,0
170993006297,Camelot Safe Academy School,9,41.75264,-87.55057100000001,2,0,0,0,7,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993006306,Frazier Prep Acad Charter ES,48,41.86195,-87.718441,0,0,0,0,48,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993006329,Foundations College Prep Charter,55,41.6943,-87.653021,0,0,0,0,55,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993006331,Horizon Sci Acad - Southwest Chtr,53,41.79542,-87.68278100000001,30,0,0,0,23,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993006350,Camelot Safe Acad - Garfield Park,1,41.884186,-87.73915700000001,0,0,0,0,1,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
