id,name,G08,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p
3404320,"East Windsor Regional School District, NJ",368,105,48,145,.20952381,1,.14583333,1,.27586207,1
3404470,"Edgewater Park Township School District, NJ",92,22,29,33,.31818181,1,.24137931,1,.39393941,1
3404500,"Edison Township School District, NJ",1097,115,104,233,.13043478,1,.096153848,1,.36480686,1
3404530,"Egg Harbor City School District, NJ",33,13,7,9,.53846157,1,.2857143,1,.77777779,1
3404590,"Elizabeth City School District, NJ",1430,1028,259,114,.86964983,1,.90733594,1,.78947371,1
3404660,"Elmwood Park Borough School District, NJ",197,71,20,82,.14084508,1,0,1,.34146342,1
3404680,"Elsinboro Township School District, NJ",14,2,1,11,0,1,1,1,.36363637,1
3404710,"Emerson Borough School District, NJ",95,6,1,75,0,1,0,1,.57333332,1
3404770,"Englewood Cliffs Borough School District, NJ",47,6,1,19,1,1,0,1,.84210527,1
3404860,"Estell Manor City School District, NJ",23,0,0,21,,,,,.23809524,1
3404920,"Ewing Township School District, NJ",243,45,102,78,.088888891,1,.039215688,1,.32051283,1
3404950,"Fair Haven Borough School District, NJ",109,2,4,101,1,1,0,1,.96039605,1
3405040,"Fairfield Township School District, NJ",46,13,22,3,.30769232,1,.090909094,1,1,1
3405070,"Fairview Borough School District, NJ",125,91,3,30,0,0,0,0,0,0
3405130,"Farmingdale Borough School District, NJ",22,4,0,16,.5,1,,,.25,1
3405220,"Florence Township School District, NJ",116,5,26,73,.80000001,1,.07692308,1,.38356164,1
3405250,"Florham Park Borough School District, NJ",119,5,7,100,.40000001,1,.2857143,1,.49000001,1
3405280,"Folsom Borough School District, NJ",49,4,4,41,1,1,1,1,.31707317,1
3405310,"Fort Lee Borough School District, NJ",247,42,9,80,.88095236,1,.77777779,1,.91250002,1
3405370,"Franklin Lakes Borough School District, NJ",133,7,2,115,.5714286,1,1,1,.40000001,1
3405400,"Franklin Borough School District, NJ",48,7,2,38,0,1,0,1,.2631579,1
3405430,"Franklin Township School District, NJ",243,12,27,199,.33333334,1,.2962963,1,.33668342,1
3405460,"Franklin Township School District, NJ",34,0,0,33,,,,,.30303031,1
3405490,"Franklin Township School District, NJ",497,159,204,62,.08176101,1,.10784314,1,.40322581,1
