year,nation,elite
2000,24.89068649,18.38429596
2001,24.5045571,16.24279417
2002,24.52697351,17.00098652
2003,23.5743992,17.66579786
2004,21.95691817,16.27977088
2005,19.20605408,14.4137931
2006,17.27381427,12.7559727
2007,15.22512403,13.04771178
2008,14.15241896,13.31912627
2009,15.17061401,13.13351499
2010,14.4746211,12.53083374
2011,13.86857658,14.35919417
2012,14.17402149,15.61889887
2013,14.42641692,16.6392634
